join_year,nyc_personal_income,nyc_real_gross_city_product,nyc_wage_rate,us_consumer_price_index
2019,666.78415,886.53341545,95349.93,255.65339584999998
2020,683.8300750000001,862.06203325,98054.8675,258.81735000000003
2021,710.0856875,907.8424293666667,104510.76166666666,266.3681125
2022,720.1822125,945.529367075,109078.155,279.497159375
2023,736.1840125,987.8995138399999,111226.653,290.8746375
2024,772.38523125,1028.396030025,114769.27833333334,300.48935
2025,806.5437,1081.0836,120308.76200000002,310.5685
2026,837.184,1108.968875,124739.08499999999,323.845625
2027,868.1055,1140.4616666666666,127768.90166666666,335.58166666666665
2028,909.319,1230.6999999999998,130859.72,343.60925
2029,980.0095,1313.83,134712.45,351.5565
